app_name,report_type,structure_total,structure_hit,structure_rate,evidence_total,evidence_hit,evidence_rate,report_path
语鲸,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\语鲸\隐私政策和权限分析结果.md
象棋,隐私政策-权限,5,5,1.0,19,19,1.0,D:\桌面\毕设\code\output\象棋\隐私政策和权限分析结果.md
趣读书,隐私政策-权限,5,5,1.0,46,46,1.0,D:\桌面\毕设\code\output\趣读书\隐私政策和权限分析结果.md
距离测量仪,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\距离测量仪\隐私政策和权限分析结果.md
运动世界,隐私政策-权限,5,5,1.0,76,76,1.0,D:\桌面\毕设\code\output\运动世界\隐私政策和权限分析结果.md
运城新闻,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\运城新闻\隐私政策和权限分析结果.md
迷你世界,隐私政策-权限,5,5,1.0,67,67,1.0,D:\桌面\毕设\code\output\迷你世界\隐私政策和权限分析结果.md
醒图,隐私政策-权限,5,5,1.0,66,66,1.0,D:\桌面\毕设\code\output\醒图\隐私政策和权限分析结果.md
野狐围棋,隐私政策-权限,5,5,1.0,32,32,1.0,D:\桌面\毕设\code\output\野狐围棋\隐私政策和权限分析结果.md
金元购,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\金元购\隐私政策和权限分析结果.md
金螳螂家,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\金螳螂家\隐私政策和权限分析结果.md
阳光高考AI志愿助手,隐私政策-权限,5,5,1.0,18,18,1.0,D:\桌面\毕设\code\output\阳光高考AI志愿助手\隐私政策和权限分析结果.md
随科精准学,隐私政策-权限,5,5,1.0,21,21,1.0,D:\桌面\毕设\code\output\随科精准学\隐私政策和权限分析结果.md
音控,隐私政策-权限,5,5,1.0,49,49,1.0,D:\桌面\毕设\code\output\音控\隐私政策和权限分析结果.md
领康悦动,隐私政策-权限,5,5,1.0,38,38,1.0,D:\桌面\毕设\code\output\领康悦动\隐私政策和权限分析结果.md
风向数据,隐私政策-权限,5,5,1.0,21,21,1.0,D:\桌面\毕设\code\output\风向数据\隐私政策和权限分析结果.md
飞卢小说,隐私政策-权限,5,5,1.0,176,176,1.0,D:\桌面\毕设\code\output\飞卢小说\隐私政策和权限分析结果.md
食卡卡,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\食卡卡\隐私政策和权限分析结果.md
驾校宝典,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\驾校宝典\隐私政策和权限分析结果.md
高德地图,隐私政策-权限,5,5,1.0,120,120,1.0,D:\桌面\毕设\code\output\高德地图\隐私政策和权限分析结果.md
魔音工坊,隐私政策-权限,5,5,1.0,50,50,1.0,D:\桌面\毕设\code\output\魔音工坊\隐私政策和权限分析结果.md
鲁大师,隐私政策-权限,5,5,1.0,86,86,1.0,D:\桌面\毕设\code\output\鲁大师\隐私政策和权限分析结果.md
麦兔科技,隐私政策-权限,5,5,1.0,27,27,1.0,D:\桌面\毕设\code\output\麦兔科技\隐私政策和权限分析结果.md
